variable, type, length, missing_value, null_ok, required, longer_name, description, notes
OBJECTID, ?, , , yes, no, , ,	
site_name, ?, , , yes, no, , ,	
action, ?, , , yes, yes, , ,	
address, ?, , , yes, no, , ,	
city, ?, , , yes, no, , ,	
county, ?, , , yes, no, , ,	
building_type, ?, , , yes, yes, , ,	
building_sqft, ?, , , yes, yes, , ,	
non_residential_sqft, ?, , , yes, yes, , ,	
tenure, ?, , , yes, no, , ,	
rent_type, ?, , , yes, no, , ,	
parking_spaces, ?, , , yes, no, , ,	
PARCEL_ID, ?, , , yes, yes, , ,	
ZONE_ID, ?, , , yes, no, , ,	
development_projects_id, ?, , , yes, yes, , ,	
raw_id, ?, , , yes, no, , ,	
building_name, ?, , , yes, no, , ,	
scen0, ?, , , yes, yes, , ,	
scen4, ?, , , yes, yes, , ,	
scen20, ?, , , yes, yes, , ,	
scen21, ?, , , yes, yes, , ,	
scen22, ?, , , yes, yes, , ,	
scen23, ?, , , yes, yes, , ,	
zip, ?, , , yes, no, , ,	
x, ?, , , yes, yes, , ,	
y, ?, , , yes, yes, , ,	
geom_id, ?, , , yes, yes, , ,	
year_built, ?, , , yes, yes, , ,	
residential_units, ?, , , yes, yes, , ,	
unit_ave_sqft, ?, , , yes, no, , ,	
stories, ?, , , yes, no, , ,	
average_weighted_rent, ?, , , yes, no, , ,	
last_sale_year, ?, , , yes, no, , ,	
last_sale_price	source, ?, , , yes, no, , ,	
edit_date, ?, , , yes, no, , ,	
editor, ?, , , yes, no, , ,
