variable, type, length, missing_value, null_ok, required, longer_name, decription, notes
geom_id, int, ?, , no, ?, Parcel Geometry ID, joins this table to parcel table , is this field in use or parcel_id?	
jurisdiction_id_old, int, ?, , no, no, OLD PBA40 Jurisdiction FIPS Code, ,	
pda_id, string, ?, , no, no, PBA40 Priority Development Area ID, ,	
tpp_id, string, ?, , no, no, PBA40 Transit Priorty ID, ,	
exp_id, string, ?, , no, no, PBA40 Expansion Area ID, ,	
opp_id, string, ?, , no, no, PBA40 Opportunity Site ID, ,	
zoningmodcat, string, ?, , no, no, PBA40 Zoning Modification Category, used to join zoningmods tables to parcels,	
perffoot, string, ?, , no, no, PBA40 Performance Footprint, ,	
perfarea, string, ?, , no, no, PBA40 Performance Area, ,	
urbanized, string, ?, , no, no, PBA40 Urbanized Area, ,	
juris_id_old, string, ?, , no, no, Horizon Jurisdiction ID, ,	
hra_id, string, ?, , no, no, Horizon High Resource Area ID, ,	
trich_id, string, ?, , no, no, Horizon Transit Rich Area ID, ,	
cat_id, string, ?, , no, no, Horizon Growth Category ID, , useful for mapping policy application	
zoninghzcat, string, ?, , no, no, Horizon Zoning Modifcation Category, used to join zoningmods tables to parcels,
PARCEL_ID, int, ?, , no, ?, Parcel ID, joins this table to parcel table , is this field in use or geom_id?	
juris_id, string, ?, , no, yes, PBA50 Jurisdiction ID, ,	
gg_id, string, ?, , no, yes, PBA50 Growth Geography ID, ,	
tra_id, string, ?, , no, yes, PBA50 Transit Rich Area ID, ,	
sesit_id, string, ?, , no, yes, PBA50 Socioeconic Situation ID, whether area is high resoure or high displacement risk or both or neither ,	
ppa_id, string, ?, , no, yes, PBA50 Priority Production Area ID, ,	
exp2020_id, string, ?, , no, yes, PBA50 Expansion Area ID, ,	
exsfd_id, string, ?, , no, yes, PBA50 Existing Single Family Home on Parcel ID, ,	
pba50zoningmodcat, string, ?, , no, yes, PBA50 Zoning Modifcation Category, used to join zoningmods tables to parcels,	
nodev, string, ?, , no, yes, PBA50 No Development Allowed on Parcel, , one of multiple ways to dissalow dev
jurisdiction_id, string, ?, , no, no, UPDATED PBA40 Jurisdiction Code, ,
