"lowInc_0_autos_noAV","lowInc_autos_lt_workers_noAV","lowInc_autos_lt_workers_AV","lowInc_autos_ge_workers_noAV","lowInc_autos_ge_workers_AV","medInc_0_autos_noAV","medInc_autos_lt_workers_noAV","medInc_autos_lt_workers_AV","medInc_autos_ge_workers_noAV","medInc_autos_ge_workers_AV","highInc_0_autos_noAV","highInc_autos_lt_workers_noAV","highInc_autos_lt_workers_AV","highInc_autos_ge_workers_noAV","highInc_autos_ge_workers_AV","veryHighInc_0_autos_noAV","veryHighInc_autos_lt_workers_noAV","veryHighInc_autos_lt_workers_AV","veryHighInc_autos_ge_workers_noAV","veryHighInc_autos_ge_workers_AV","destChoiceAlt","taz","subzone"
10.870632,9.978169,9.963831,9.395631,9.361449,11.53076,10.582251,10.575849,9.998573,9.98148,11.783232,10.846539,10.836728,10.318243,10.296384,12.051245,11.065722,11.05902,10.546557,10.5319,0,1,0
11.672723,10.178855,10.171805,9.449984,9.421453,12.401611,10.839659,10.835942,10.076427,10.076427,12.702195,11.126564,11.120733,10.39782,10.397844,12.909158,11.335629,11.33153,10.623045,10.6231,1,1,1
11.494366,10.097794,10.088814,9.422909,9.422859,12.214607,10.73857,10.734002,10.038109,10.038032,12.510861,11.018624,11.011769,10.358879,10.338517,12.720217,11.229923,11.224523,10.585412,10.571492,2,1,2
10.854119,9.961288,9.946898,9.37685,9.341996,11.510988,10.56448,10.55736,9.978545,9.961169,11.770539,10.83735,10.827453,10.30664,10.284657,12.033542,11.048748,11.041656,10.528274,10.513395,3,2,0
11.65026,10.154968,10.147703,9.428598,9.39916,12.363301,10.810157,10.806254,10.051483,10.051476,12.665652,11.102417,11.096448,10.380194,10.380189,12.865777,11.304725,11.300439,10.599009,10.599042,4,2,1
11.471409,10.074799,10.065557,9.402554,9.402543,12.178712,10.711287,10.706489,10.015212,9.999249,12.477964,10.997808,10.990775,10.343749,10.323162,12.680974,11.202452,11.197042,10.563795,10.549791,5,2,2
10.696129,9.815078,9.798352,9.250227,9.210498,11.366593,10.423326,10.415601,9.856526,9.856503,11.651417,10.727293,10.715972,10.216503,10.216459,11.916243,10.93338,10.925743,10.435061,10.435012,6,3,0
11.55886,10.025451,10.017102,9.304874,9.304858,12.282131,10.690866,10.686469,9.933953,9.917306,12.607052,11.011617,11.005152,10.293516,10.272384,12.804615,11.210393,11.205702,10.509649,10.49509,7,3,1
11.368978,9.938088,9.927501,9.277239,9.240935,12.086821,10.583152,10.577672,9.895235,9.877236,12.409804,10.899013,10.891117,10.255133,10.232585,12.609935,11.099413,11.093721,10.47242,10.456996,8,3,2
10.976184,10.077397,10.064334,9.485828,9.485825,11.638667,10.684573,10.6783,10.090618,10.090581,11.876299,10.931478,10.921914,10.390443,10.390429,12.12696,11.137795,11.131615,10.607305,10.607255,9,4,0
11.786018,10.27507,10.268479,9.540709,9.540724,12.499813,10.934907,10.931424,10.167618,10.154035,12.773262,11.199903,11.19452,10.467881,10.449757,12.971754,11.398994,11.394843,10.682305,10.669837,10,4,1
11.602664,10.192907,10.184504,9.513213,9.483987,12.312166,10.834039,10.829724,10.12945,10.114832,12.583342,11.09381,11.087153,10.429656,10.429678,12.782976,11.294122,11.289642,10.64515,10.631881,11,4,2
10.682769,9.803268,9.786189,9.246069,9.246049,11.366248,10.425595,10.417284,9.864108,9.864087,11.649815,10.728298,10.71688,10.22221,10.222217,11.908194,10.927783,10.919896,10.435435,10.418616,12,5,0
11.547066,10.01703,10.008947,9.300276,9.266602,12.274309,10.691167,10.687257,9.938915,9.922177,12.608463,11.011994,11.006486,10.296289,10.296295,12.805035,11.206268,11.202099,10.507215,10.492447,13,5,1
11.360273,9.928203,9.917735,9.272787,9.272778,12.083085,10.583565,10.578485,9.901401,9.901341,12.414309,10.898647,10.891145,10.259077,10.259074,12.612708,11.09376,11.087931,10.470969,10.470999,14,5,2
10.479452,9.616038,9.595473,9.088648,9.088636,11.172283,10.242143,10.232287,9.708466,9.68512,11.501492,10.589836,10.577077,10.110991,10.083761,11.755732,10.783528,10.774435,10.320584,10.301898,15,6,0
11.328346,9.818602,9.807993,9.135422,9.094657,12.086407,10.50389,10.498517,9.776965,9.756923,12.45686,10.868314,10.860694,10.179657,10.179626,12.644029,11.055624,11.049986,10.386984,10.386925,16,6,1
11.142791,9.735254,9.721896,9.111634,9.111639,11.892709,10.398046,10.39132,9.742321,9.74234,12.260451,10.75737,10.748072,10.144988,10.145044,12.450372,10.945845,10.938889,10.353437,10.353357,17,6,2
10.465563,9.605136,9.584313,9.078008,9.078014,11.168107,10.239326,10.229307,9.704631,9.681129,11.498765,10.588445,10.575306,10.109422,10.081824,11.750398,10.781056,10.771745,10.31852,10.2996,18,7,0
11.364505,9.829458,9.819054,9.131316,9.13131,12.097125,10.512974,10.507723,9.777761,9.777754,12.459874,10.873234,10.865663,10.180552,10.180598,12.64126,11.056826,11.051044,10.386395,10.386408,19,7,1
11.175442,9.737741,9.724494,9.104306,9.104327,11.904341,10.403711,10.396943,9.741048,9.719282,12.264809,10.760777,10.751462,10.144876,10.11893,12.448082,10.946573,10.939385,10.352145,10.334195,20,7,2
10.473318,9.613426,9.592565,9.092998,9.04483,11.180432,10.25453,10.244949,9.725226,9.701855,11.51583,10.603796,10.590932,10.127581,10.127621,11.763489,10.792445,10.7833,10.332801,10.332839,21,8,0
11.430843,9.866606,9.856451,9.155592,9.155602,12.168006,10.559999,10.554791,9.810497,9.810478,12.518218,10.914008,10.906656,10.208698,10.208687,12.693611,11.093321,11.087839,10.410464,10.410492,22,8,1
11.235916,9.765607,9.752581,9.124286,9.080408,11.969773,10.441697,10.435216,9.768394,9.746969,12.319059,10.794683,10.78564,10.168594,10.143162,12.497625,10.976256,10.969592,10.372031,10.354341,23,8,2
10.367728,9.517562,9.494113,9.024146,8.971997,11.095953,10.171206,10.160419,9.663344,9.663313,11.462893,10.554675,10.541041,10.095776,10.095771,11.697864,10.730577,10.721228,10.290942,10.290982,24,9,0
11.380377,9.814178,9.803279,9.098007,9.09803,12.104976,10.511245,10.505706,9.75968,9.759698,12.47877,10.890712,10.88308,10.185702,10.161067,12.642478,11.057826,11.052055,10.377526,10.360127,25,9,1
11.188631,9.703693,9.689527,9.062066,9.015174,11.912581,10.388825,10.381814,9.71373,9.713687,12.285101,10.76934,10.759854,10.142758,10.142738,12.452307,10.938996,10.931664,10.336145,10.336145,26,9,2
