"lowInc_0_autos_noAV","lowInc_autos_lt_workers_noAV","lowInc_autos_lt_workers_AV","lowInc_autos_ge_workers_noAV","lowInc_autos_ge_workers_AV","medInc_0_autos_noAV","medInc_autos_lt_workers_noAV","medInc_autos_lt_workers_AV","medInc_autos_ge_workers_noAV","medInc_autos_ge_workers_AV","highInc_0_autos_noAV","highInc_autos_lt_workers_noAV","highInc_autos_lt_workers_AV","highInc_autos_ge_workers_noAV","highInc_autos_ge_workers_AV","veryHighInc_0_autos_noAV","veryHighInc_autos_lt_workers_noAV","veryHighInc_autos_lt_workers_AV","veryHighInc_autos_ge_workers_noAV","veryHighInc_autos_ge_workers_AV","destChoiceAlt","taz","subzone"
10.425774,11.194633,11.154072,10.876143,10.822129,10.836,11.326673,11.312451,10.954012,10.928719,11.065081,11.406174,11.387075,10.983154,10.969406,11.266542,11.467966,11.462147,11.010131,11.002279,0,1,0
10.419851,11.194356,11.154123,10.87612,10.822151,10.825585,11.329698,11.311463,10.954594,10.928308,11.06389,11.400505,11.387601,10.984968,10.968203,11.237525,11.467063,11.467386,11.011048,11.002083,1,1,1
10.424597,11.19522,11.154542,10.876191,10.821888,10.847476,11.326707,11.31262,10.953252,10.928205,11.063355,11.404423,11.390441,10.984518,10.968943,11.244934,11.470767,11.469583,11.011047,11.00134,2,1,2
10.499927,11.259699,11.221961,10.93604,10.886035,10.890744,11.387387,11.370873,11.008576,10.98608,11.110896,11.456095,11.438588,11.037821,11.023479,11.283385,11.51939,11.514401,11.06265,11.054206,3,2,0
10.49813,11.259805,11.221949,10.936305,10.886069,10.887568,11.386025,11.369692,11.009081,10.986427,11.097239,11.45655,11.44391,11.0379,11.022156,11.286674,11.5142,11.520623,11.061873,11.053758,4,2,1
10.499684,11.25952,11.222334,10.936178,10.88601,10.893628,11.387245,11.369596,11.008656,10.985416,11.111694,11.456295,11.443738,11.036486,11.022562,11.279202,11.519126,11.517514,11.060838,11.054136,5,2,2
10.52871,11.289042,11.252429,10.963217,10.915753,10.927513,11.413541,11.398711,11.032917,11.011088,11.122625,11.479287,11.463262,11.060174,11.046504,11.301446,11.541219,11.535786,11.08208,11.075846,6,3,0
10.535888,11.288395,11.253411,10.963391,10.915858,10.913927,11.411324,11.398376,11.033424,11.011176,11.104276,11.479063,11.467195,11.059873,11.045748,11.292711,11.542064,11.538883,11.082256,11.076694,7,3,1
10.528225,11.289405,11.252999,10.963354,10.915696,10.915562,11.408572,11.398308,11.033521,11.010876,11.111383,11.480286,11.472135,11.060255,11.045051,11.307633,11.53924,11.536265,11.082583,11.07563,8,3,2
10.599321,11.343181,11.308439,11.01428,10.969345,10.974086,11.461153,11.44845,11.080715,11.060513,11.175583,11.528666,11.516229,11.106803,11.09559,11.335676,11.586373,11.57974,11.130432,11.122959,9,4,0
10.596087,11.343482,11.309252,11.014299,10.969243,10.974587,11.45913,11.446293,11.081329,11.059887,11.154645,11.5248,11.518288,11.107161,11.094913,11.345608,11.585821,11.582893,11.130965,11.124085,10,4,1
10.592917,11.342769,11.309617,11.014287,10.969343,10.968701,11.463864,11.446968,11.081088,11.060506,11.171076,11.52603,11.51524,11.106916,11.093616,11.328366,11.588648,11.579704,11.130447,11.123175,11,4,2
10.656142,11.39546,11.364119,11.063498,11.02149,11.013,11.510174,11.494548,11.12593,11.106345,11.218946,11.569653,11.558962,11.150342,11.13942,11.35401,11.627973,11.622966,11.172478,11.165014,12,5,0
10.657155,11.395548,11.363875,11.06335,11.021596,11.029493,11.505643,11.491399,11.126457,11.107022,11.211878,11.566813,11.563775,11.151221,11.138771,11.375535,11.628526,11.625322,11.172229,11.165995,13,5,1
10.652501,11.395513,11.363885,11.063359,11.021544,11.003886,11.507783,11.492789,11.126664,11.106694,11.208761,11.565425,11.563722,11.151506,11.137972,11.357093,11.630085,11.621285,11.172145,11.165236,14,5,2
10.571078,11.325067,11.29046,11.000762,10.954039,10.966777,11.446116,11.433378,11.068454,11.047546,11.157751,11.511157,11.506972,11.095352,11.082527,11.335281,11.578255,11.57338,11.117936,11.110095,15,6,0
10.568428,11.325346,11.289335,11.00055,10.954084,10.952799,11.44698,11.433393,11.069084,11.047624,11.170456,11.516263,11.502688,11.096143,11.082529,11.327778,11.571893,11.573016,11.118952,11.110875,16,6,1
10.569266,11.324756,11.289738,11.000721,10.954052,10.959804,11.447125,11.431648,11.069286,11.04809,11.165115,11.516209,11.505548,11.09603,11.08224,11.357861,11.574397,11.576886,11.118578,11.111451,17,6,2
10.613965,11.366284,11.333729,11.038746,10.994849,10.993561,11.484635,11.472147,11.104481,11.083591,11.194061,11.551917,11.540524,11.130105,11.117337,11.371495,11.610191,11.608694,11.151462,11.145526,18,7,0
10.618258,11.366701,11.332811,11.038692,10.994781,10.984793,11.485681,11.472861,11.104162,11.084298,11.202591,11.551889,11.535093,11.130749,11.117296,11.352798,11.612146,11.608455,11.152123,11.144278,19,7,1
10.621009,11.366121,11.33393,11.038756,10.994913,10.984916,11.486312,11.470488,11.104703,11.083514,11.201997,11.5494,11.539205,11.128808,11.11672,11.371956,11.602878,11.609628,11.153145,11.145955,20,7,2
10.590876,11.351336,11.317308,11.025632,10.980294,10.991723,11.471504,11.458257,11.092655,11.071796,11.188633,11.539628,11.529873,11.119623,11.105787,11.361806,11.600935,11.599499,11.141443,11.13486,21,8,0
10.599134,11.351584,11.316723,11.025555,10.980262,10.987383,11.474771,11.457894,11.091901,11.071987,11.199109,11.5362,11.529099,11.118421,11.10651,11.360418,11.59708,11.595534,11.141041,11.133695,22,8,1
10.599413,11.351833,11.317247,11.025707,10.980265,10.994383,11.472344,11.455525,11.092463,11.072294,11.167763,11.534577,11.525649,11.119031,11.107062,11.355547,11.595696,11.599491,11.142244,11.134488,23,8,2
10.519051,11.289297,11.250587,10.973783,10.921954,10.938942,11.422154,11.404507,11.047802,11.024844,11.155612,11.489268,11.48424,11.076825,11.061259,11.337531,11.556007,11.557402,11.098564,11.093594,24,9,0
10.518348,11.289794,11.250216,10.973745,10.921788,10.954834,11.422955,11.404504,11.046768,11.024019,11.160401,11.487743,11.474837,11.076769,11.061473,11.333987,11.547838,11.55596,11.101567,11.093508,25,9,1
10.524246,11.289404,11.250539,10.973826,10.92192,10.936513,11.420318,11.404428,11.047733,11.023836,11.15298,11.49274,11.484,11.075467,11.061336,11.335417,11.557304,11.556849,11.100213,11.092153,26,9,2
10.522413,11.289467,11.249707,10.972286,10.919843,10.941705,11.422463,11.40451,11.047343,11.023387,11.152115,11.493014,11.485675,11.075799,11.061122,11.327977,11.564526,11.552818,11.099525,11.091396,27,10,0
10.526133,11.288499,11.249132,10.972164,10.919957,10.946598,11.420122,11.402674,11.047041,11.023552,11.165009,11.487771,11.483898,11.076165,11.062037,11.344366,11.566459,11.554747,11.100323,11.092051,28,10,1
10.527338,11.288592,11.249388,10.972219,10.919804,10.93828,11.418147,11.403187,11.047106,11.023582,11.155487,11.490529,11.483435,11.076482,11.061306,11.314942,11.562377,11.560448,11.101068,11.09174,29,10,2
10.655069,11.395707,11.363916,11.066199,11.023516,11.026752,11.513141,11.494692,11.130866,11.110053,11.218543,11.569289,11.565313,11.155323,11.143309,11.35786,11.629954,11.634462,11.176986,11.170995,30,11,0
10.655027,11.395806,11.363867,11.066133,11.023537,11.039273,11.512142,11.494243,11.130353,11.110507,11.213114,11.571036,11.563517,11.155749,11.143479,11.364712,11.637789,11.625186,11.17749,11.169901,31,11,1
10.655219,11.395256,11.364039,11.066139,11.02355,11.010092,11.512596,11.495827,11.130641,11.110229,11.222445,11.572137,11.565858,11.155748,11.144158,11.389369,11.629748,11.627221,11.177914,11.170522,32,11,2
10.642984,11.384658,11.352884,11.053304,11.010042,11.001052,11.499037,11.486112,11.118044,11.096978,11.198482,11.558286,11.552669,11.141351,11.129707,11.34949,11.61455,11.618877,11.164069,11.156963,33,12,0
