parcel_id,ACRES,PARCEL_ID,building_cost,building_purchase_price,building_purchase_price_sqft,building_revenue,building_sqft,cat_id,cat_id_y,county,deed_restricted_units,exp2020_id,exp_id,exsfd_id,fees,geom_id,gg_id,hra_id,inclusionary_units,juris,juris_id,juris_name,juris_name_full,juris_ppa,juris_sesit,juris_tra,juris_trich,juris_y,jurisdiction_id,land_cost,max_dua,max_far,max_height,max_profit,max_profit_far,min_max_fars,nodev,non_residential_sqft,oldest_building,opp_id,parking_config,parking_ratio,pba50chcat,pba50zoningmodcat,pda_id_pba40,pda_id_pba50,pda_pba40,pda_pba50,perfarea,perffoot,policy_based_revenue_reduction,ppa_id,ppa_id_y,residential,residential_sales_price_sqft,residential_sqft,sesit_id,sesit_id_y,stories,superdistrict,total_cost,total_residential_units,total_sqft,tpp_id,tra_id,tra_id_y,trich_id,trich_id_y,urbanized,vmt_nonres_cat,vmt_res_cat,zoninghzcat,zoningmodcat,ave_sqft_per_unit,residential_units,subsidy_per_unit,regional,subaccount
1736818,4.00557604357,1736818.0,25766998.36828301,15804563.339742383,722.2562174479167,47258442.80462856,130863.37414059426,,,Solano,7,in,,,0.0,15120034777599,,,7,Fairfield,frfd,Fairfield,fairfield,,,,,fairfield,23182.0,18955126.193384286,22.0,,,-562930.2884588984,0.75,0.9271284271284272,0.0,0.0,1973.0,,surface,0.0,NANANANA,fairfieldNANANANAinNA,,,,,0.0,1.0,3088210.682626852,,,515.8972981770834,515.8972981770834,91604.36189841597,,,2.0,26,44722124.56166729,19.0,32179.72286,,,,,,1.0,MH,S,frfdNANANA,23182NANANANA,1285.0,71.0,10000.0,1,1
1753562,0.173256700646,1753562.0,1652067.0553622292,1832433.6169270833,962.4126139322916,3631727.2113809665,7547.131363006986,,,Solano,0,in,,,0.0,10101026598866,GG,,0,Vallejo,vall,Vallejo,vallejo,,,,,vallejo,81666.0,1983376.244187223,35.0,,,-3790.409931855267,1.0,1.4207988980716253,0.0,0.0,1985.0,,surface,0.0,GGNANANA,vallejoGGNANANAinNA,,,,,1.0,1.0,0.0,,,687.4375813802084,687.4375813802084,5282.99195410489,,,2.0,25,3635443.299549452,2.0,2800.0,b2,,,,,1.0,H,S,vallNANANA,81666NAb2NANA,1237.8,4.0,10000.0,1,1
1744889,0.130438862573,1744889.0,2463815.469275841,2244222.3424687497,935.4668294270832,4783764.311616587,10227.544496786388,,,Solano,0,in,,,0.0,10090965186601,GG,,0,Vallejo,vall,Vallejo,vallejo,,,,,vallejo,81666.0,2357861.725766376,35.0,,,-38671.141094142295,1.8,1.944065225222233,0.0,0.0,1951.0,,surface,0.0,GGNANANA,vallejoGGNANANAinNA,,,,,1.0,1.0,0.0,,,668.1905924479166,668.1905924479166,7159.281147750471,,,5.0,25,4821677.195042217,3.0,3528.0,b2,,,,,1.0,MH,S,vallNANANA,81666NAb2NANA,1693.6696242136093,4.0,10000.0,1,1
1788027,0.188598489028,1788027.0,3840711.569726934,3076337.717248571,644.8155722316577,7343140.14481144,20538.564543994296,,,Solano,2,in,,,0.0,11852907896322,GG,HRA,2,Benicia,beni,Benicia,benicia,,benihra,,,benicia,5290.0,3208773.579741096,78.19372259210348,,,-132184.93492472498,2.5,2.5644012394104516,0.0,0.0,1942.0,,deck,0.2,GGNAHRANA,beniciaGGNAHRANAinNA,ben1,,ben1,,1.0,1.0,425839.93026813446,,,638.4453125,638.4453125,14376.995180796006,hra,hra,4.0,25,7049485.149468031,0.0,7016.0,,,,,,1.0,H,M,beniHRANANA,05290BEN1NANANA,1000.0,14.0,10000.0,1,1
1747177,0.122945625965,1747177.0,2322278.262452972,2220851.585326918,964.1662597656249,4647285.899635319,9640.009391668626,,,Solano,0,in,,,0.0,13721774586809,GG,,0,Vallejo,vall,Vallejo,vallejo,,,,vallR,vallejo,81666.0,2327962.8007899025,35.0,,,-3014.2668797075003,1.8,1.9440652252180899,0.0,0.0,1919.0,,surface,0.0,GGNANANA,vallejoGGNANANAinNA,,,,,1.0,1.0,0.0,,,688.690185546875,688.690185546875,6748.006574168037,,,5.0,25,4650241.063242875,2.0,3387.33924843,b3,,,R,R,1.0,H,S,vallNARNA,81666NAb3NANA,1693.66962421,3.0,10000.0,1,1
1729751,0.20491309910100006,1729751.0,3870534.083657378,2255341.093856854,651.6066953244118,6233186.169423116,16066.974195339882,,,Solano,0,in,,,0.0,1706230456808,GG,,0,Fairfield,frfd,Fairfield,fairfield,,,,frfdRna,fairfield,23182.0,2400748.704402521,35.0,,,-38858.55100951793,1.8,1.9440652252180903,0.0,0.0,1925.0,,surface,0.0,GGNANANA,fairfieldGGNANANAinNA,fai1,fairfield3,fai1,fairfield3,1.0,1.0,0.0,,,554.214599609375,554.214599609375,11246.881936737916,,,5.0,26,6271282.788059899,0.0,5090.0,b3,,,Rna,Rna,1.0,MH,S,frfdNARnaNA,23182FAI1b3NANA,1693.66962421,6.0,10000.0,1,1
1750934,0.265196215297,1750934.0,1137299.6663491775,1321316.83096875,930.6096679687499,2687613.1662828294,5776.026746313751,,,Solano,0,in,,,0.0,904820673268,,,0,Vallejo,vall,Vallejo,vallejo,,,,,vallejo,81666.0,1552357.9008213,17.4,,,-2085.2889054010716,0.5,0.6699330972058245,0.0,0.0,1929.0,,surface,0.0,NANANANA,vallejoNANANANAinNA,,,,,0.0,1.0,0.0,,,664.72119140625,664.72119140625,4043.218722419625,,,1.0,25,2689657.5671704775,2.0,2088.0,,,,,,1.0,MH,S,vallNANANA,81666NANANANA,1174.0,3.0,10000.0,1,1
1850304,0.846621423829,1850304.0,3630754.163540582,2057667.2864016092,605.1962607063557,6226885.051738718,18439.584375523526,CatRet1,CatRet1,Solano,0,in,,,0.0,17096883623621,,,0,Suisun City,suic,Suisun City,suisun_city,,suicdr,,,suisun_city,75630.0,2615645.662053918,11.320986717807843,,,-19905.069332897758,0.5,0.5591435785458025,0.0,0.0,1989.0,,surface,0.0,NANADRNA,suisun_cityNANADRNAinNA,,,,,1.0,1.0,0.0,,,482.4159749348958,482.4159749348958,12907.709062866466,dr,dr,1.0,26,6246399.8255945,0.0,5000.0,b3,,,,,1.0,MH,S,suicNANACatRet1,75630NAb3NANA,1506.0,8.0,10000.0,1,1
1749821,0.184704838907,1749821.0,1188166.0043305266,1592463.3566610601,669.6762589198556,2914289.8399643595,6034.362642613136,,,Solano,0,in,,,0.0,4351605259467,,,0,Vallejo,vall,Vallejo,vallejo,,,,,vallejo,81666.0,1727165.6699767567,17.4,,,-1062.6710297819507,0.75,0.9664781405398466,0.0,0.0,1947.0,,surface,0.0,NANANANA,vallejoNANANANAinNA,,,,,1.0,1.0,0.0,,,689.92724609375,689.92724609375,4224.053849829195,,,2.0,25,2915331.674307283,0.0,3497.0,b1,,,,,1.0,MH,S,vallNANANA,81666NAb1NANA,1693.669624215,2.0,10000.0,1,1
1804160,0.656922741052,1804160.0,563445.4574541423,0.0,150.0,698696.7079213142,2861.581805252119,,,Solano,0,in,,,0.0,2357764547165,,,0,Vacaville,vaca,Vacaville,vacaville,,vacadr,,,vacaville,81554.0,143079.09026260593,2.0,,,-7984.396591342714,0.1,0.13039485766758493,0.0,0.0,9999.0,,surface,0.0,NANADRNA,vacavilleNANADRNAinNA,,,,,0.0,1.0,0.0,,,348.8064371744792,348.8064371744792,2003.1072636764832,dr,dr,1.0,26,706524.5477167482,0.0,0.0,,,,,,1.0,MH,S,vacaNANANA,81554NANANANA,1988.0,1.0,10000.0,1,1
1804176,1.81704493847,1804176.0,1558487.2506185954,0.0,150.0,1938122.85806893,7915.120622745532,,,Solano,0,in,,,0.0,1876058566848,,,0,Vacaville,vaca,Vacaville,vacaville,,vacadr,,,vacaville,81554.0,395756.03113727656,2.0,,,-16442.832160680926,0.1,0.13039485766758493,0.0,0.0,1992.0,,surface,0.0,NANADRNA,vacavilleNANADRNAinNA,,,,,0.0,1.0,0.0,,,349.8047688802083,349.8047688802083,5540.584435921873,dr,dr,1.0,26,1954243.281755872,1.0,0.0,,,,,,1.0,MH,S,vacaNANANA,81554NANANANA,1988.0,2.0,10000.0,1,1
1749753,0.456503207735,1749753.0,9580815.979440825,8256036.790467548,669.6762589198556,19192145.334156148,39770.92560996606,,,Solano,2,in,,,0.0,6811874875887,GG,,2,Vallejo,vall,Vallejo,vallejo,,,valltra3,vallR,vallejo,81666.0,8588957.348920822,72.6,,,-64580.953837949106,2.0,2.380952380952381,0.0,0.0,1938.0,,surface,0.0,GGtra3NANA,vallejoGGtra3NANAinNA,val2,,val2,,1.0,1.0,1085686.666419943,,,689.3817545572916,689.3817545572916,27839.647926976242,,,7.0,25,18169773.328361645,0.0,18130.0,b1,tra3,tra3,R,R,1.0,MH,S,vallNARNA,81666VAL2b1NANA,1000.0,27.0,10000.0,1,1
1804177,2.4523491567099995,1804177.0,2103390.408173386,0.0,150.0,2615760.268751431,10682.53127563934,,,Solano,0,in,,,0.0,7269607213412,,,0,Vacaville,vaca,Vacaville,vacaville,,vacadr,,,vacaville,81554.0,534126.5637819669,2.0,,,-22191.83726800058,0.1,0.13039485766758493,0.0,0.0,1992.0,,surface,0.0,NANADRNA,vacavilleNANADRNAinNA,,,,,0.0,1.0,0.0,,,349.8047688802083,349.8047688802083,7477.771892947537,dr,dr,1.0,26,2637516.971955353,2.0,0.0,,,,,,1.0,MH,S,vacaNANANA,81554NANANANA,1988.0,3.0,10000.0,1,1
1805465,1.47210121118,1805465.0,1262627.533678965,0.0,150.0,1568598.3523538432,6412.531913047053,,,Solano,0,in,,,0.0,5555787509935,,,0,Vacaville,vaca,Vacaville,vacaville,,vacadr,,,vacaville,81554.0,320626.59565235267,2.0,,,-14655.776977474568,0.1,0.1221303948576676,0.0,0.0,1975.0,,surface,0.0,NANADRNA,vacavilleNANADRNAinNA,,,,,0.0,1.0,0.0,,,349.4493001302083,349.4493001302083,4488.772339132937,dr,dr,1.0,26,1583254.1293313177,1.0,0.0,,,,,,1.0,MH,M,vacaNANANA,81554NANANANA,1862.0,2.0,10000.0,1,1
1787858,0.371368673359,1787858.0,7562732.701386051,5976408.649671897,644.8155722316577,14521649.527406674,40442.42086302701,,,Solano,4,in,,,0.0,6395661799757,GG,HRA,4,Benicia,beni,Benicia,benicia,,benihra,,,benicia,5290.0,6237187.67718416,78.19372259210348,,,-138752.7950331387,2.5,2.564401239410451,0.0,0.0,1990.0,,deck,0.2,GGNAHRANA,beniciaGGNAHRANAinNA,ben1,benicia1,ben1,benicia1,1.0,1.0,860481.9438696024,,,641.1959635416666,641.1959635416666,28309.694604118904,hra,hra,4.0,25,13799920.37857021,0.0,13630.0,,,,,,1.0,H,M,beniHRANANA,05290BEN1NANANA,1000.0,28.0,10000.0,1,1
1808518,1.7868893055400001,1808518.0,3831556.5867288327,1103809.6181031899,633.8342203776041,6167017.983702242,19459.403690852374,,,Solano,0,in,,sfd,0.0,16611310193468,,,0,Vacaville,vaca,Vacaville,vacaville,,vacadr,,,vacaville,81554.0,2337213.2148436382,5.0,,,-1786.8542276331225,0.25,0.24645808736717828,0.0,0.0,1979.0,,surface,0.0,NANADRNA,vacavilleNANADRNAinsfd,,,,,0.0,1.0,0.0,,,452.7387288411458,452.7387288411458,13621.58258359666,dr,dr,1.0,26,6168769.801572471,1.0,2561.0,,,,,,0.0,MH,S,vacaNANANA,81554NANANANA,1503.0,9.0,10000.0,1,1
1805570,1.98116829097,1805570.0,8496282.776050765,2779372.8783663595,603.3220703124999,13016746.86238543,43150.24264119231,,,Solano,1,in,,,0.0,10250012498746,,,1,Vacaville,vaca,Vacaville,vacaville,,vacadr,,,vacaville,81554.0,4081047.5646049026,10.0,,,-112716.30402578018,0.5,0.610651974288338,0.0,0.0,1975.0,,surface,0.0,NANADRNA,vacavilleNANADRNAinNA,,,,,0.0,1.0,552132.8257555419,,,430.9443359375,430.9443359375,30205.169848834612,dr,dr,1.0,26,12577330.340655668,4.0,6774.67849685,,,,,,0.0,MH,M,vacaNANANA,81554NANANANA,1862.0,16.0,10000.0,1,1
1729782,0.415407637143,1729782.0,7846494.075915869,3755209.385154586,651.6066953244118,12636152.348836578,32571.581884250183,,,Solano,1,in,,,0.0,15681713339448,GG,,1,Fairfield,frfd,Fairfield,fairfield,,,frfdtra3,frfdR,fairfield,23182.0,4049985.2300585406,35.0,,,-53493.867811468495,1.8,1.94406522521809,0.0,0.0,1957.0,,surface,0.0,GGtra3NANA,fairfieldGGtra3NANAinNA,fai1,fairfield3,fai1,fairfield3,1.0,1.0,792118.0113047856,,,554.214599609375,554.214599609375,22800.107318975126,,,5.0,26,11896479.305974409,0.0,8475.0,b3,tra3,tra3,R,R,1.0,MH,S,frfdNARNA,23182FAI1b3NANA,1693.66962421,13.0,10000.0,1,1
