parcel_id,ACRES,PARCEL_ID,building_cost,building_purchase_price,building_purchase_price_sqft,building_revenue,building_sqft,cat_id,cat_id_y,county,deed_restricted_units,exp2020_id,exp_id,exsfd_id,fees,geom_id,gg_id,hra_id,inclusionary_units,juris,juris_id,juris_name,juris_name_full,juris_ppa,juris_sesit,juris_tra,juris_trich,juris_y,jurisdiction_id,land_cost,max_dua,max_far,max_height,max_profit,max_profit_far,min_max_fars,nodev,non_residential_sqft,oldest_building,opp_id,parking_config,parking_ratio,pba50chcat,pba50zoningmodcat,pda_id_pba40,pda_id_pba50,pda_pba40,pda_pba50,perfarea,perffoot,policy_based_revenue_reduction,ppa_id,ppa_id_y,residential,residential_sales_price_sqft,residential_sqft,sesit_id,sesit_id_y,stories,superdistrict,total_cost,total_residential_units,total_sqft,tpp_id,tra_id,tra_id_y,trich_id,trich_id_y,urbanized,vmt_nonres_cat,vmt_res_cat,zoninghzcat,zoningmodcat,ave_sqft_per_unit,residential_units,subsidy_per_unit,regional,subaccount
1987665,0.180948022502,1987665.0,1163999.2225431814,246327.7840898437,504.52192382812495,1491272.5421328784,5911.626320686548,,,Sonoma,0,inun,,,0.0,13689973230842,GG,,0,Sonoma County,uson,Sonoma County,unincorporated_sonoma,,usondr,,usonConn,unincorporated_sonoma,97.0,345745.95356536895,25.0,,,-18842.086655185274,0.75,1.0622458349731074,0.0,0.0,1961.0,,surface,0.0,GGNADRNA,unincorporated_sonomaGGNADRNAinunNA,sro3,santa rosa5,sro3,santa rosa5,1.0,1.0,0.0,,,360.372802734375,360.372802734375,4138.138424480583,dr,dr,2.0,30,1509745.1761085503,2.0,718.0,b3,,,Conn,Conn,1.0,MH,S,usonNAConnNA,00097SRO3b3NANA,1295.6,3.0,10000.0,1,1
1926886,1.3157848214299999,1926886.0,18819746.197334416,2403184.7520204014,360.6219615876953,23076783.758953456,85974.17175575338,,,Sonoma,3,in,,,0.0,14953514730708,GG,,3,Santa Rosa,sros,Santa Rosa,santa_rosa,,,,srosRna,santa_rosa,70098.0,2919920.993094355,45.375,,,-72997.15023864493,1.5,2.4630955403869046,0.0,0.0,1963.0,,surface,0.0,GGNANANA,santa_rosaGGNANANAinNA,sro2,santa rosa2,sro2,santa rosa2,1.0,1.0,1408682.4020919837,,,383.450439453125,383.450439453125,60181.92022902737,,,4.0,30,21739667.19042877,0.0,9800.0,b3,,,Rna,Rna,1.0,MH,S,srosNARnaNA,70098SRO2b3NANA,1655.20020314,36.0,10000.0,1,1
1988677,1.7304230299,1988677.0,11131434.506017625,1115714.3239933115,495.63682861328124,14010027.670083856,56533.44086347194,,,Sonoma,3,inun,,,0.0,15901732247578,GG,,3,Sonoma County,uson,Sonoma County,unincorporated_sonoma,,usondr,,usonConn,unincorporated_sonoma,97.0,2049716.1686655686,25.0,,,-30321.394650750266,0.75,1.0622458349731076,0.0,0.0,1962.0,,surface,0.0,GGNADRNA,unincorporated_sonomaGGNADRNAinunNA,sro5,santa rosa4,sro5,santa rosa4,1.0,1.0,858603.8529013972,,,354.02630615234375,354.02630615234375,39573.408604430355,dr,dr,2.0,30,13181150.674683195,2.0,3310.40040629,,,,Conn,Conn,1.0,MH,S,usonNAConnNA,00097SRO5NANANA,1295.6,30.0,10000.0,1,1
1988723,1.73611003604,1988723.0,11168017.778020415,523555.06050036434,465.16059570312495,13191777.050398849,56719.23706460343,,,Sonoma,3,in,,sfd,0.0,8226549611873,GG,,3,Santa Rosa,sros,Santa Rosa,santa_rosa,,srosdr,,srosConn,santa_rosa,70098.0,1403006.8638602875,25.0,,,-156305.52861613012,0.75,1.0622458349731076,0.0,0.0,1962.0,,surface,0.0,GGNADRNA,santa_rosaGGNADRNAinsfd,sro5,,sro5,,1.0,1.0,773993.122847686,,,332.257568359375,332.257568359375,39703.4659452224,dr,dr,2.0,30,12571024.641880702,1.0,1655.20020314,,,,Conn,Conn,1.0,MH,S,srosNAConnNA,70098SRO5NANANA,1295.6,30.0,10000.0,1,1
2037540,0.7586089738490001,2037540.0,4879966.321625629,643394.8247070312,473.0844299316406,5862458.31729778,24783.983350053983,,,Sonoma,0,inun,ubz,,0.0,13135884724059,,,0,Sonoma County,uson,Sonoma County,unincorporated_sonoma,,usondr,,,unincorporated_sonoma,97.0,1034225.37919355,32.67,,,-51733.38352139946,0.75,2.678571428571429,0.0,0.0,1957.0,,surface,0.0,NANADRNA,unincorporated_sonomaNANADRNAinunNA,,,,,0.0,1.0,0.0,,,337.9174499511719,337.9174499511719,17348.788345037785,dr,dr,2.0,30,5914191.700819179,2.0,2000.0,,,,,,1.0,MH,M,usonNANANA,00097NANAubzNA,2500.0,6.0,10000.0,1,1
1871858,1.10430965044,1871858.0,7103783.488680485,0.0,982.6337197973872,8442855.243090631,36078.12843413146,,,Sonoma,2,in,,,0.0,6545095148525,GG,,2,Sebastopol,seba,Sebastopol,sebastopol,,sebahra,,,sebastopol,70770.0,962083.4249101721,36.3,,,-137887.35646182857,0.75,1.9785714285714286,0.0,0.0,1962.0,,surface,0.0,GGNAHRANA,sebastopolGGNAHRANAinNA,seb1,sebastopol1,seb1,sebastopol1,1.0,1.0,515568.58725055633,,,334.30841064453125,334.30841064453125,25254.68990389202,hra,hra,2.0,30,8065866.913590657,0.0,0.0,,,,,,1.0,H,MH,sebaNANANA,70770SEB1NANANA,1662.0,15.0,10000.0,1,1
1926879,5.0780749401,1926879.0,32666150.204692505,2163967.210411675,480.65253906249995,39870665.40701486,165902.23567644745,,,Sonoma,7,in,,,0.0,3894234473994,GG,,7,Santa Rosa,sros,Santa Rosa,santa_rosa,,,,srosConn,santa_rosa,70098.0,4822011.570879333,35.0,,,-439492.1579797622,0.75,1.8999084058080806,0.0,0.0,1987.0,,surface,0.0,GGNANANA,santa_rosaGGNANANAinNA,sro5,santa rosa4,sro5,santa rosa4,1.0,1.0,2821995.789422786,,,343.3232421875,343.3232421875,116131.5649735132,,,2.0,30,37488161.77557184,4.0,6620.80081258,,,,Conn,Conn,1.0,MH,M,srosNAConnNA,70098SRO5NANANA,1655.20020314,70.0,10000.0,1,1
2037182,0.36224512054,2037182.0,5181212.853919745,765483.2712187499,518.2830078124999,6133701.64926065,23669.314088258314,,,Sonoma,0,in,,,0.0,14319856965097,GG,,0,Santa Rosa,sros,Santa Rosa,santa_rosa,,srosdr,srostra3,srosR,santa_rosa,70098.0,969939.9928607716,35.0,,,-17451.19751986675,1.5,2.8696051423324147,0.0,0.0,1971.0,,surface,0.0,GGtra3DRNA,santa_rosaGGtra3DRNAinNA,sro2,santa rosa2,sro2,santa rosa2,1.0,1.0,0.0,,,370.2021484375,370.2021484375,16568.51986178082,dr,dr,4.0,30,6151152.846780517,2.0,2172.0,b2,tra3,tra3,R,R,1.0,MH,M,srosNARNA,70098SRO2b2NANA,2500.0,6.0,10000.0,1,1
1930615,8.08197803914,1930615.0,6931947.288207986,0.0,150.0,8919920.176232811,35205.42045814112,,,Sonoma,1,inun,ubz,,0.0,7452724451964,,,1,Sonoma County,uson,Sonoma County,unincorporated_sonoma,,usondr,,,unincorporated_sonoma,97.0,1760271.0229070557,2.75,,,-121466.41916323837,0.1,0.14936509402200573,0.0,0.0,9999.0,,surface,0.0,NANADRNA,unincorporated_sonomaNANADRNAinunNA,,,,,0.0,1.0,349168.28428100806,,,361.9540100097656,361.9540100097656,24643.79432069878,dr,dr,1.0,29,8692218.311115041,0.0,0.0,,,,,,0.0,MH,M,usonNANANA,00097NANAubzNA,1656.1601625159997,14.0,10000.0,1,1
2036567,1.21197114639,2036567.0,5197564.297327926,851956.3482875976,508.88585815429684,6716523.5341743445,26396.974592828472,,,Sonoma,0,in,,sfd,0.0,276140354728,,,0,Santa Rosa,sros,Santa Rosa,santa_rosa,,srosdr,srostra3,srosR,santa_rosa,70098.0,1523608.701705032,8.0,,,-4649.464858613908,0.5,0.6559097468188377,0.0,0.0,1968.0,,surface,0.0,NAtra3DRNA,santa_rosaNAtra3DRNAinsfd,,,,,1.0,1.0,0.0,,,363.4898986816406,363.4898986816406,18477.88221497993,dr,dr,1.0,30,6721172.999032958,1.0,2462.0,b1,tra3,tra3,R,R,1.0,MH,M,srosNARNA,70098NAb1NANA,2500.0,7.0,10000.0,1,1
